,x,y,Sample.ID,Field,Sample.Date,Season,mid_depth,DepthMin.cm.,DepthMax.cm.,pH,pH.CaCl,EC,ECse,Cl.ppm,NO3N.ppm,NH4N.ppm,P.Colwell.ppm,PBI,Ca.ppm,K.ppm,Mg.ppm,Na.ppm,Ca.Mg,CEC.ppm,ESP,Cu.ppm,Fe.ppm,Mn.ppm,Zn.ppm,B.ppm,S.ppm,P.BSES,Silt,Clay,Sand,TOC,EM_50,EM_100,EM_150,EM_300,gamma_k,gamma_th,gamma_u,gamma_TC,landscape_change,elevation,DEM_30,aspect,MrRTF,MrVBF,PlanCurvature,ProfileCurvature,SlopeDeg,SlopePct,SlopeRelief,TPI_class,TPI_mask,TWI,rad_dose,rad_k,rad_ratio_tk,rad_ratio_u2th,rad_ratio_uk,rad_ratio_uth,rad_th,rad_u,NDVI_5,NDVI_50,NDVI_95,RED_5,RED_50,RED_95
146,801294.7958,6762769.552,7,OD04,17/05/2020,2020,45,30,60,9.2,8.3,0.24,NA,10,7.8,0.7,NA,NA,28,0.31,8.9,3.8,3.1,40.6,9.3,NA,NA,NA,NA,NA,4,NA,8,18,74,NA,106.5461349,179.1513062,197.2578583,250.4406433,0.163956523,21.1505394,5.140748024,1409.066772,0.024965703,232.2914232,231,268.9336548,4.561195374,7,0.000484427,-2.79E-05,0.318433076,0.555776298,11,2,0,10.73924255,23.7056694,0.183661938,35.61930847,0.118100964,4.785858631,0.134361356,6.541911125,0.8789801,0.107669145,0.154046729,0.850472093,298,1096.333333,1871
147,801294.7958,6762769.552,7,OD04,17/05/2020,2020,75,60,90,9.2,8.2,0.41,NA,97,13,1.3,NA,NA,26,0.38,9.7,6,2.7,42.3,14,NA,NA,NA,NA,NA,45,NA,10,23,67,NA,106.5461349,179.1513062,197.2578583,250.4406433,0.163956523,21.1505394,5.140748024,1409.066772,0.024965703,232.2914232,231,268.9336548,4.561195374,7,0.000484427,-2.79E-05,0.318433076,0.555776298,11,2,0,10.73924255,23.7056694,0.183661938,35.61930847,0.118100964,4.785858631,0.134361356,6.541911125,0.8789801,0.107669145,0.154046729,0.850472093,298,1096.333333,1871
148,798451.0044,6762574.703,8,OD04,17/05/2020,2020,7.5,0,15,7.7,7,0.21,1.3,10,13,0.6,17,49,23,0.93,7.5,1.5,3.1,32.9,4.6,0.7,7.8,8.3,0.23,0.9,47,22,13,47,41,0.92,114.4776077,200.1877289,216.7381439,273.4990234,0.364578992,16.79980278,5.468227386,1372.419678,-0.016472649,226.6104749,227,321.6929932,4.50504446,7,0.010658226,6.58E-06,0.06130163,0.106991574,11,2,0,11.33786774,24.67745972,0.217650399,29.69466782,0.15675883,4.624614239,0.155738875,6.463056087,1.00654912,0.115110002,0.157531694,0.846013069,343.75,1112.6,1809
149,798451.0044,6762574.703,8,OD04,17/05/2020,2020,22.5,15,30,8.5,7.3,0.11,0.7,10,5.1,1.3,8,60,25,0.48,8.5,2,2.9,36.3,5.6,0.69,12,6.1,0.1,1,21,6,13,30,58,0.7,114.4776077,200.1877289,216.7381439,273.4990234,0.364578992,16.79980278,5.468227386,1372.419678,-0.016472649,226.6104749,227,321.6929932,4.50504446,7,0.010658226,6.58E-06,0.06130163,0.106991574,11,2,0,11.33786774,24.67745972,0.217650399,29.69466782,0.15675883,4.624614239,0.155738875,6.463056087,1.00654912,0.115110002,0.157531694,0.846013069,343.75,1112.6,1809
150,798451.0044,6762574.703,8,OD04,17/05/2020,2020,45,30,60,8.9,7.7,0.12,NA,24,3.6,0.6,NA,NA,22,0.33,8.6,3.1,2.6,34,9,NA,NA,NA,NA,NA,5,NA,5,24,72,NA,114.4776077,200.1877289,216.7381439,273.4990234,0.364578992,16.79980278,5.468227386,1372.419678,-0.016472649,226.6104749,227,321.6929932,4.50504446,7,0.010658226,6.58E-06,0.06130163,0.106991574,11,2,0,11.33786774,24.67745972,0.217650399,29.69466782,0.15675883,4.624614239,0.155738875,6.463056087,1.00654912,0.115110002,0.157531694,0.846013069,343.75,1112.6,1809
151,798451.0044,6762574.703,8,OD04,17/05/2020,2020,75,60,90,8.8,7.7,0.45,NA,270,4.4,0.8,NA,NA,23,0.37,9.8,5.6,2.3,38.7,14,NA,NA,NA,NA,NA,72,NA,9,27,64,NA,114.4776077,200.1877289,216.7381439,273.4990234,0.364578992,16.79980278,5.468227386,1372.419678,-0.016472649,226.6104749,227,321.6929932,4.50504446,7,0.010658226,6.58E-06,0.06130163,0.106991574,11,2,0,11.33786774,24.67745972,0.217650399,29.69466782,0.15675883,4.624614239,0.155738875,6.463056087,1.00654912,0.115110002,0.157531694,0.846013069,343.75,1112.6,1809
152,800064.5903,6762509.209,9,OD04,17/05/2020,2020,7.5,0,15,7.4,6.1,0.08,0.5,15,8.9,0.7,10,58,18,0.66,7.4,1.6,2.4,27.6,5.7,0.85,14,31,3,0.7,5,9,13,29,59,0.8,117.5952606,200.085495,215.0904236,267.5972595,0.195188627,18.52556801,6.287938118,1429.202637,0.037330774,229.9213319,227,266.5487671,5.511134148,7,-0.001592752,-1.80E-05,0.141303688,0.246621966,11,2,0,12.28948879,25.96967697,0.15217182,46.81566238,0.16820614,7.193651199,0.153659075,7.124024391,1.094671011,0.111532725,0.162077919,0.845114946,313,1141.666667,1849
153,800064.5903,6762509.209,9,OD04,17/05/2020,2020,22.5,15,30,8.2,6.6,0.07,0.4,10,4.9,0.9,10,68,22,0.36,8.5,2.9,2.6,33.4,8.7,0.87,16,18,0.17,0.8,3,5,11,30,58,0.78,117.5952606,200.085495,215.0904236,267.5972595,0.195188627,18.52556801,6.287938118,1429.202637,0.037330774,229.9213319,227,266.5487671,5.511134148,7,-0.001592752,-1.80E-05,0.141303688,0.246621966,11,2,0,12.28948879,25.96967697,0.15217182,46.81566238,0.16820614,7.193651199,0.153659075,7.124024391,1.094671011,0.111532725,0.162077919,0.845114946,313,1141.666667,1849
154,800064.5903,6762509.209,9,OD04,17/05/2020,2020,45,30,60,8.4,7.6,0.2,NA,92,9,0.6,NA,NA,21,0.29,8.9,4.8,2.4,34.9,14,NA,NA,NA,NA,NA,8,NA,9,23,69,NA,117.5952606,200.085495,215.0904236,267.5972595,0.195188627,18.52556801,6.287938118,1429.202637,0.037330774,229.9213319,227,266.5487671,5.511134148,7,-0.001592752,-1.80E-05,0.141303688,0.246621966,11,2,0,12.28948879,25.96967697,0.15217182,46.81566238,0.16820614,7.193651199,0.153659075,7.124024391,1.094671011,0.111532725,0.162077919,0.845114946,313,1141.666667,1849
155,800064.5903,6762509.209,9,OD04,17/05/2020,2020,75,60,90,7.9,7.6,1.85,NA,660,13,0.8,NA,NA,28,0.43,11,8.1,2.5,47.3,17,NA,NA,NA,NA,NA,1300,NA,10,29,61,NA,117.5952606,200.085495,215.0904236,267.5972595,0.195188627,18.52556801,6.287938118,1429.202637,0.037330774,229.9213319,227,266.5487671,5.511134148,7,-0.001592752,-1.80E-05,0.141303688,0.246621966,11,2,0,12.28948879,25.96967697,0.15217182,46.81566238,0.16820614,7.193651199,0.153659075,7.124024391,1.094671011,0.111532725,0.162077919,0.845114946,313,1141.666667,1849
